Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Bardzour n°1071,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.18470479,55.29997085,"87, chemin des Serres",97424#Saint-Leu,,,,,Soubik,ADT Réunion,2021-02-25,Bardzour n°1071#+33 2 62 34 13 97#vion@bardzour.com#http://www.bardzour.com/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/8f82c9a9-125c-3c95-a50d-ee7fe8348aa4
Bardzour n°74,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.18470479,55.29997085,"87, chemin des Serres",97424#Saint-Leu,,,,,Soubik,ADT Réunion,2020-03-24,Bardzour n°74#+33 2 62 34 13 97#vion@bardzour.com#http://www.bardzour.com/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/c65d879c-330c-3225-9e39-11f4e0c9f5bb
Bardzour n°741,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.18470479,55.29997085,"87, chemin des Serres",97424#Saint-Leu,,,,,Soubik,ADT Réunion,2020-03-24,Bardzour n°741#+33 2 62 34 13 97#vion@bardzour.com#http://www.bardzour.com/,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/59765b67-dbff-3924-bfab-765fd3d5bfed
Vavangue n°742,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.18470479,55.29997085,"87, chemin des Serres",97424#Saint-Leu,,,,,Soubik,ADT Réunion,2020-10-29,Vavangue n°742#+33 2 62 34 13 97#vion@bardzour.com#http://www.bardzour.com/,,,https://data.datatourisme.fr/54/74f8cb9d-6866-3103-804d-523cb93e50e4
Vavangue n°743,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.18470479,55.29997085,"87, chemin des Serres",97424#Saint-Leu,,,,,Soubik,ADT Réunion,2020-10-29,Vavangue n°743#+33 2 62 34 13 97#vion@bardzour.com#http://www.bardzour.com/,,,https://data.datatourisme.fr/54/325803cd-b905-3b42-ac31-e6495116d7ae
Villa Delisle & Spa (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.343551,55.474358,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2021-11-26,Villa Delisle & Spa (La)#+33 2 62 70 77 08#info@villadelisle.re#https://villadelisle.re/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/9034cb64-a04c-3aff-9297-bc820d9ba509
Sterne Beach (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.34333791,55.47365,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2021-02-22,Sterne Beach (Le)#+33 2 62 25 70 00#lesterne@ilereunion.com#http://www.lesterne.com/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/c8a22d90-09b1-3c5c-a099-8b9edf214f30
Pierre Bistrot Chic (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.343551,55.474358,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Pierre Bistrot Chic (Le)#+33 2 62 70 77 08#info@hotel-villadelisle.com#http://www.hotel-villadelisle.com/,,,https://data.datatourisme.fr/54/5ecf2239-92d7-3e1b-bf08-c8f2e53fbf82
Voile Blanche (La),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|http://schema.org/FoodEstablishment|http://schema.org/Restaurant,-21.343551,55.474358,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Voile Blanche (La)#+33 2 62 70 77 08#info@hotel-villadelisle.com#http://www.hotel-villadelisle.com/,,,https://data.datatourisme.fr/54/305d0a41-7dda-3597-a453-2301f2e413d2
Garden Spa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#FitnessCenter|http://schema.org/LocalBusiness,-21.343551,55.474358,"42, boulevard Hubert Delisle",97410#Saint-Pierre,,,,,Soubik,ADT Réunion,2019-10-10,Garden Spa#+33 2 62 70 77 08#GardenSpa@hotel-VillaDelisle.com#http://www.hotel-villadelisle.com/,,,https://data.datatourisme.fr/54/1dcffe54-e52e-3130-bc87-b14264aa3e1d
